EventId,Type,Severity,Date,LocationLat,LocationLng,City,State
1,Rain,Light,2016-01-01,30.9791,-83.1925,Moody Afb,GA
2,Rain,Light,2016-01-02,30.735,-101.203,Ozona,TX
3,Rain,Light,2016-01-03,30.4278,-86.6893,Hurlburt Field,FL
4,Snow,Light,2016-01-04,46.5667,-119.6,Hanford Site,WA
5,Rain,Light,2016-01-05,37.6255,-120.9549,Modesto,CA
6,Rain,Light,2016-01-06,36.9394,-121.79,Freedom,CA
7,Fog,Severe,2016-01-07,31.0858,-97.6865,Killeen,TX
8,Fog,Severe,2016-01-08,29.9592,-81.34100000000002,Saint Augustine,FL
9,Rain,Light,2016-01-09,40.2184,-76.8552,New Cumberland,PA
10,Rain,Light,2016-01-10,41.6875,-69.9933,Chatham,MA
11,Snow,Light,2016-01-11,34.2686,-110.002,Show Low,AZ
12,Fog,Severe,2016-01-12,47.2381,-123.1408,Shelton,WA
13,Rain,Light,2016-01-13,39.275,-120.7097,Alta,CA
14,Snow,Light,2016-01-14,42.5709,-77.7131,North Dansville,NY
15,Fog,Moderate,2016-01-15,37.5136,-122.4996,Half Moon Bay,CA
16,Fog,Moderate,2016-01-16,33.9753,-117.6361,Ontario,CA
17,Rain,Light,2016-01-17,37.5136,-122.4996,Half Moon Bay,CA
18,Rain,Light,2016-01-18,39.275,-120.7097,Alta,CA
19,Cold,Severe,2016-01-19,32.8274,-116.9737,El Cajon,CA
20,Rain,Light,2016-01-20,35.99800000000001,-89.4066,Dyersburg,TN
21,Rain,Light,2016-01-21,32.5652,-97.3081,Fort Worth,TX
22,Rain,Light,2016-01-22,35.2115,-84.7998,Cleveland,TN
23,Fog,Moderate,2016-01-23,29.7268,-85.0248,Apalachicola,FL
24,Snow,Light,2016-01-24,41.6875,-69.9933,Chatham,MA
25,Fog,Severe,2016-01-25,30.5105,-99.7665,Junction,TX
26,Fog,Severe,2016-01-26,42.1208,-87.9047,Wheeling,IL
27,Rain,Moderate,2016-01-27,28.0997,-80.6356,Melbourne,FL
28,Fog,Severe,2016-01-28,27.9471,-81.7811,Bartow,FL
29,Rain,Light,2016-01-29,37.6255,-120.9549,Modesto,CA
30,Fog,Severe,2016-01-30,32.6922,-117.2098,San Diego,CA
31,Rain,Light,2016-01-31,34.2119,-119.0916,Camarillo,CA
32,Rain,Light,2016-02-01,34.095,-82.8158,Elberton,GA
33,Rain,Heavy,2016-02-02,41.8965,-88.2512,West Chicago,IL
34,Fog,Severe,2016-02-03,31.1522,-81.3908,Saint Simons Island,GA
35,Rain,Light,2016-02-04,42.0744,-70.2182,Provincetown,MA
36,Snow,Light,2016-02-05,40.0536,-106.3689,Kremmling,CO
37,Rain,Light,2016-02-06,30.8721,-96.6222,Hearne,TX
38,Fog,Severe,2016-02-07,47.2381,-123.1408,Shelton,WA
